licensee_name,postal_code,latitude,longitude,full_address,coordinates
COLD STORAGE SINGAPORE (1983) PTE LTD,289215,1.331491293,103.806809,20 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289215,"(1.331491293, 103.806809)"
SWISS BUTCHERY (2013) PRIVATE LIMITED,289230,1.331760921,103.8065867,30 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289230,"(1.331760921, 103.8065867)"
ROSWELL ENTERPRISE PTE LTD,289236,1.331832465,103.8064925,34 GREENWOOD AVENUE HILLCREST PARK SINGAPORE 289236,"(1.331832465, 103.8064925)"
NG LIAN TEE,289504,1.331664767,103.8070338,7 GREENDALE AVENUE GREENDALE COURT SINGAPORE 289504,"(1.331664767, 103.8070338)"
NTUC Fairprice Co-operative Ltd,307506,1.320429671,103.8438921,250 SINARAN DRIVE DBS NTUC SQUARE 2 SINGAPORE 307506,"(1.320429671, 103.8438921)"
L M MEAT PTE. LTD,307506,1.320429671,103.8438921,250 SINARAN DRIVE DBS NTUC SQUARE 2 SINGAPORE 307506,"(1.320429671, 103.8438921)"
COLD STORAGE SINGAPORE (1983) PTE LTD,307591,1.317468165,103.8434679,101 THOMSON ROAD EMBASSY OF THE REPUBLIC OF MALDIVES SINGAPORE 307591,"(1.317468165, 103.8434679)"
COLD STORAGE SINGAPORE (1983) PTE LTD,307645,1.321146529,103.8415504,275 THOMSON ROAD NOVENA REGENCY SINGAPORE 307645,"(1.321146529, 103.8415504)"
COLD STORAGE SINGAPORE (1983) PTE LTD,307683,1.319789492,103.8440336,238 THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307683,"(1.319789492, 103.8440336)"
COLD STORAGE SINGAPORE (1983) PTE LTD,309426,1.316177418,103.837815,36A DUNEARN ROAD CHANCERY COURT SINGAPORE 309426,"(1.316177418, 103.837815)"
SHENG SIONG SUPERMARKET PTE LTD,310004,1.339044798,103.8555411,4 LORONG 7 TOA PAYOH SKYLACE LEARNING HUB PTE LTD SINGAPORE 310004,"(1.339044798, 103.8555411)"
COLD STORAGE SINGAPORE (1983) PTE LTD,310181,1.333622327,103.8509779,181 LORONG 4 TOA PAYOH UOB TOA PAYOH LORONG 4 SINGAPORE 310181,"(1.333622327, 103.8509779)"
NTUC Fairprice Co-operative Ltd,310192,1.331690082,103.8506198,192 LORONG 4 TOA PAYOH OCBC TOA PAYOH LORONG 4 - FAIRPRICE SINGAPORE 310192,"(1.331690082, 103.8506198)"
LIN POH LING,310212,1.340652197,103.8543345,212 LORONG 8 TOA PAYOH OCBC TOA PAYOH LORONG 8 SINGAPORE 310212,"(1.340652197, 103.8543345)"
COLD STORAGE SINGAPORE (1983) PTE LTD,310260,1.332112915,103.8574166,260 KIM KEAT AVENUE OCBC KIM KEAT AVENUE SINGAPORE 310260,"(1.332112915, 103.8574166)"
NTUC Fairprice Co-operative Ltd,310500,1.332761179,103.8471182,500 LORONG 6 TOA PAYOH OCBC TOA PAYOH LORONG 6 - FAIRPRICE SINGAPORE 310500,"(1.332761179, 103.8471182)"
HAO MART PTE. LTD.,320074,1.324715797,103.8577529,74 WHAMPOA DRIVE WHAMPOA COURT SINGAPORE 320074,"(1.324715797, 103.8577529)"
NTUC Fairprice Co-operative Ltd,320080,1.323796079,103.8556706,80 LORONG LIMAU SUNFLOWER PRESCHOOL @ BALESTIER PTE. LTD. SINGAPORE 320080,"(1.323796079, 103.8556706)"
SHENG SIONG SUPERMARKET PTE LTD,321108,1.321619038,103.8593827,108 MCNAIR ROAD MCNAIR SPRING SINGAPORE 321108,"(1.321619038, 103.8593827)"
SEMPER FIDELIS FINE FOODS PRIVATE LIMITED,329714,1.322133312,103.8532168,262 BALESTIER ROAD OKIO SINGAPORE 329714,"(1.322133312, 103.8532168)"
NTUC Fairprice Co-operative Ltd,329783,1.325252953,103.8509957,360 BALESTIER ROAD SINGAPORE 329783,"(1.325252953, 103.8509957)"
NTUC Fairprice Co-operative Ltd,329984,1.327084855,103.8464765,20 AH HOOD ROAD RAMADA SINGAPORE AT ZHONGSHAN PARK SINGAPORE 329984,"(1.327084855, 103.8464765)"
NTUC Fairprice Co-operative Ltd,330071,1.320992943,103.87039,71 KALLANG BAHRU OCBC KALLANG BAHRU - FAIRPRICE SINGAPORE 330071,"(1.320992943, 103.87039)"
COLD STORAGE SINGAPORE (1983) PTE LTD,339511,1.309711207,103.8643264,12 KALLANG AVENUE DBS APERIA BRANCH SINGAPORE 339511,"(1.309711207, 103.8643264)"
NTUC Fairprice Co-operative Ltd,358361,1.332633815,103.8671517,6 POTONG PASIR AVENUE 2 DBS NTUC POTONG PASIR CC SINGAPORE 358361,"(1.332633815, 103.8671517)"
PRIME SUPERMARKET LIMITED?,360001,1.334292423,103.8787911,1 UPPER ALJUNIED LANE DBS UPPER ALJUNIED ROAD SINGAPORE 360001,"(1.334292423, 103.8787911)"
TAN PAK NANG,367872,1.333123242,103.8788419,387 UPPER ALJUNIED ROAD SINGAPORE 367872,"(1.333123242, 103.8788419)"
