name_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,postal_code,latitude,longitude,full_address,coordinates
Blk 90 Whampoa Drive,MHC,HDB,92,80,12,320090,1.322943132,103.8551378,90 WHAMPOA DRIVE WHAMPOA DRIVE MAKAN PLACE SINGAPORE 320090,"(1.322943132, 103.8551378)"
Blk 93 Toa Payoh Lorong 4,MHC,HDB,60,28,32,310093,1.338417345,103.849485,93 LORONG 4 TOA PAYOH MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4) SINGAPORE 310093,"(1.338417345, 103.849485)"
Haig Road Market & Food Centre,MHC,HDB,151,72,79,430013,1.315147296,103.895349,"14 Haig Rd, Singapore 430014","(1.315147296, 103.895349)"
Mayflower Market & Food Centre,MHC,HDB,124,40,84,560160,1.374573254,103.8392304,"162 Ang Mo Kio Ave 4, #01-101 Mayflower Market & Food Centre, Singapore 560162","(1.374573254, 103.8392304)"
Tanglin Halt Food Centre,HC,HDB,40,40,0,141001,1.299758936,103.7979655,"1A Commonwealth Dr, Singapore 141001","(1.299758936, 103.7979655)"
Changi Village Hawker Centre,MHC,HDB,129,87,42,500002,1.389577541,103.9884801,"2 Changi Village Rd, Singapore 500002","(1.389577541, 103.9884801)"
Marsiling Lane Food Centre,MHC,HDB,164,52,112,730020,1.443597151,103.7770097,"20 Marsiling Ln, Singapore 730020","(1.443597151, 103.7770097)"
Boon Lay Place Market and Food Village,MHC,HDB,166,72,94,641221,1.345532266,103.7132253,"221A Boon Lay Pl, Singapore 641221","(1.345532266, 103.7132253)"
Havelock Road Cooked Food Centre,HC,HDB,30,30,0,161022,1.287794719,103.8295395,"22A Havelock Rd, Singapore 161022","(1.287794719, 103.8295395)"
Circuit Road Market & Food Centre,HC,HDB,106,106,0,370079,1.32774126,103.8872849,"80 Circuit Rd, Singapore 370080","(1.32774126, 103.8872849)"
Whampoa Hawker Centre,MHC,HDB,164,52,112,320091,1.323118173,103.8549932,"91 Whampoa Dr, Singapore 320091","(1.323118173, 103.8549932)"
Chinatown Market,MHC,HDB,703,226,477,50335,1.282235211,103.8431776,335 SMITH STREET CHINATOWN COMPLEX MARKET SINGAPORE 050335,"(1.282235211, 103.8431776)"
Chong Pang City Wet Market & Food Centre,MHC,HDB,179,56,123,760104,1.43170277,103.8283259,"105 Yishun Ring Rd, Singapore 760105","(1.43170277, 103.8283259)"
Hong Lim Market & Food Centre,MHC,HDB,143,103,40,51531,1.285323793,103.8457767,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,"(1.285323793, 103.8457767)"
Kovan Market & Food Centre,MHC,HDB,186,66,120,530209,1.359097267,103.8860623,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,"(1.359097267, 103.8860623)"
Pek Kio Market & Food Centre,MHC,HDB,124,50,74,211041,1.316159985,103.8502251,41A CAMBRIDGE ROAD PEK KIO MARKET & FOOD CENTRE SINGAPORE 211041,"(1.316159985, 103.8502251)"
People's Park Food Centre,HC,HDB,87,87,0,50032,1.284858608,103.8425788,32 NEW MARKET ROAD UOB PEOPLE'S PARK COMPLEX FOOD CENTRE SINGAPORE 050032,"(1.284858608, 103.8425788)"
Tekka Market,MHC,HDB,403,119,284,210665,1.30617773,103.85061,665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,"(1.30617773, 103.85061)"
