address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
173B PUNGGOL FIELD,822173,1.396550267,103.910063,173B PUNGGOL FIELD SINGAPORE 822173,"(1.396550267, 103.910063)",Meridian,0.14035610886455108,Punggol   Plaza    Singapore ,0.4304284506694069,PRIME SUPERMARKET LIMITED?,0.13315155132386008,Kovan Market & Food Centre,4.945903847670087,13.014500266836798
646 PUNGGOL CTRL,820646,1.398148805,103.9157809,646 PUNGGOL CENTRAL EASTDALE SINGAPORE 820646,"(1.398148805, 103.9157809)",Kadaloor,0.18515470048415114,Punggol   Plaza    Singapore ,0.5317811016448061,ANG MO SUPERMARKET PTE LTD,0.1490650922083026,Kovan Market & Food Centre,5.456163157265278,13.577174467157816
641A PUNGGOL DR,821641,1.398554823,103.9170016,641A PUNGGOL DRIVE THE MEADOWS SINGAPORE 821641,"(1.398554823, 103.9170016)",Kadaloor,0.1305829766092416,Oasis   Terraces    Singapore ,0.6146647692311846,ANG MO SUPERMARKET PTE LTD,0.14574375721920743,Kovan Market & Food Centre,5.574839082169663,13.70361230728501
186 PUNGGOL CTRL,820186,1.398563328,103.9111,186 PUNGGOL CENTRAL SINGAPORE 820186,"(1.398563328, 103.9111)",Meridian,0.3013669587911548,Oasis   Terraces    Singapore ,0.5129933339028359,COLD STORAGE SINGAPORE (1983) PTE LTD,0.2275893540081092,Kovan Market & Food Centre,5.1966225630370415,13.258011342316506
492 ADMIRALTY LINK,750492,1.456474318,103.8171814,492 ADMIRALTY LINK SEMBAWANG GREEN SINGAPORE 750492,"(1.456474318, 103.8171814)",Sembawang,0.8767925024350092,Sun   Plaza    Singapore ,0.9563496390559041,FORTUNE SUPERMARKET PTE. LTD.,0.29949666931612107,Chong Pang City Wet Market & Food Centre,3.020232347303407,16.395789919568987
509A WELLINGTON CIRCLE,751509,1.453080009,103.8207434,509A WELLINGTON CIRCLE WELLINGTON VIEW SINGAPORE 751509,"(1.453080009, 103.8207434)",Sembawang,0.4454139053564619,Sun   Plaza    Singapore ,0.5591030749847793,NTUC Fairprice Co-operative Ltd,0.15822603903990987,Chong Pang City Wet Market & Food Centre,2.5220559681379684,15.985565440067939
355A SEMBAWANG WAY,751355,1.449529899,103.8189642,355A SEMBAWANG WAY SINGAPORE 751355,"(1.449529899, 103.8189642)",Sembawang,0.12955721839732764,Sun   Plaza    Singapore ,0.16066423461280105,NTUC Fairprice Co-operative Ltd,0.026485601641721822,Chong Pang City Wet Market & Food Centre,2.2388420714266797,15.608445000609606
403C FERNVALE LANE,793403,1.388318481,103.8729357,403C FERNVALE LANE FERN SPRING SINGAPORE 793403,"(1.388318481, 103.8729357)",Fernvale,0.5539206632867508,Greenwich   Singapore ,0.40559933758021843,COLD STORAGE SINGAPORE (1983) PTE LTD,0.41259270808711307,Blk 527 Ang Mo Kio Ave 10,2.6709789615315382,9.875977986677675
407B FERNVALE RD,792407,1.388997392,103.875148,407B FERNVALE ROAD FERN VIEW SINGAPORE 792407,"(1.388997392, 103.875148)",Fernvale,0.3593142515387656,The   Seletar   Mall    Singapore ,0.3008403549818449,NTUC Fairprice Co-operative Ltd,0.2907812950953292,Blk 527 Ang Mo Kio Ave 10,2.9100362026175315,10.058987249505854
315B ANCHORVALE RD,542315,1.392178232,103.8883232,315B ANCHORVALE ROAD ANCHORVALE GARDENS SINGAPORE 542315,"(1.392178232, 103.8883232)",Tongkang,0.405349663327506,Compass   One    Singapore ,0.7400439803875615,U STARS SUPERMARKET PTE. LTD.,0.5295042701162394,Kovan Market & Food Centre,3.6870165374433204,11.130324667704016
157C RIVERVALE CRES,543157,1.387758502,103.9077291,157C RIVERVALE CRESCENT RIVERVALE VIEW SINGAPORE 543157,"(1.387758502, 103.9077291)",Bakau,0.2594694677401673,Rivervale   Mall    Singapore ,0.6138574549105427,NTUC Fairprice Co-operative Ltd,0.6138574549105427,Kovan Market & Food Centre,3.99474714832844,12.124166248470676
690F WOODLANDS DR 75,736690,1.442685987,103.8074331,690F WOODLANDS DRIVE 75 SINGAPORE 736690,"(1.442685987, 103.8074331)",Sembawang,1.5760743099677685,Admiralty   Place    Singapore ,0.7072920339234808,VENKATESH DEEPA ( VIDEKS GROCERS ),0.0868268710283191,Chong Pang City Wet Market & Food Centre,2.623981385824838,15.025742336753101
981B BUANGKOK CRES,532981,1.380469875,103.880038,981B BUANGKOK CRESCENT SINGAPORE 532981,"(1.380469875, 103.880038)",Tongkang,1.194520634111521,Buangkok   Square    Singapore ,0.4151392244539306,COLD STORAGE SINGAPORE (1983) PTE LTD,0.0924568413182507,Chomp Chomp Food Centre,2.3462722244826346,9.535729806264195
