month,level_1,level_2,value
1962-09,All Items,Education,14.93
1962-09,All Items,Miscellaneous Goods & Services,18.822
1962-10,All Items,Food,21.606
1962-10,All Items,Food Excl Food Serving Services,na
1962-10,All Items,Food Serving Services,na
1962-10,All Items,Clothing & Footwear,53.351
1962-10,All Items,Housing & Utilities,26.901
1962-10,All Items,Household Durables & Services,32.164
1962-10,All Items,Health Care,18.604
1962-10,All Items,Transport,20.522
1962-10,All Items,Communication,89.155
1962-10,All Items,Recreation & Culture,49.124
1962-10,All Items,Education,14.93
1962-10,All Items,Miscellaneous Goods & Services,18.822
1962-11,All Items,Food,21.85
1962-11,All Items,Food Excl Food Serving Services,na
1962-11,All Items,Food Serving Services,na
1962-11,All Items,Clothing & Footwear,53.351
1962-11,All Items,Housing & Utilities,26.911
1962-11,All Items,Household Durables & Services,32.176
1962-11,All Items,Health Care,18.604
1962-11,All Items,Transport,20.522
1962-11,All Items,Communication,89.155
1962-11,All Items,Recreation & Culture,49.124
1962-11,All Items,Education,14.93
1962-11,All Items,Miscellaneous Goods & Services,18.822
1962-12,All Items,Food,21.96
1962-12,All Items,Food Excl Food Serving Services,na
1962-12,All Items,Food Serving Services,na
1962-12,All Items,Clothing & Footwear,53.291
1962-12,All Items,Housing & Utilities,26.911
1962-12,All Items,Household Durables & Services,32.203
1962-12,All Items,Health Care,18.604
1962-12,All Items,Transport,20.522
1962-12,All Items,Communication,89.155
1962-12,All Items,Recreation & Culture,49.124
1962-12,All Items,Education,14.93
1962-12,All Items,Miscellaneous Goods & Services,18.822
1963-01,All Items,Food,22.703
1963-01,All Items,Food Excl Food Serving Services,na
1963-01,All Items,Food Serving Services,na
1963-01,All Items,Clothing & Footwear,53.307
1963-01,All Items,Housing & Utilities,26.832
1963-01,All Items,Household Durables & Services,31.464
1963-01,All Items,Health Care,18.604
1963-01,All Items,Transport,20.522
1963-01,All Items,Communication,89.155
1963-01,All Items,Recreation & Culture,49.124
1963-01,All Items,Education,15.412
1963-01,All Items,Miscellaneous Goods & Services,18.822
1963-02,All Items,Food,22.985
1963-02,All Items,Food Excl Food Serving Services,na
1963-02,All Items,Food Serving Services,na
1963-02,All Items,Clothing & Footwear,53.422
1963-02,All Items,Housing & Utilities,26.832
1963-02,All Items,Household Durables & Services,31.477
1963-02,All Items,Health Care,18.604
1963-02,All Items,Transport,20.522
1963-02,All Items,Communication,89.155
1963-02,All Items,Recreation & Culture,49.124
1963-02,All Items,Education,15.412
1963-02,All Items,Miscellaneous Goods & Services,18.822
1963-03,All Items,Food,22.252
1963-03,All Items,Food Excl Food Serving Services,na
1963-03,All Items,Food Serving Services,na
1963-03,All Items,Clothing & Footwear,53.236
1963-03,All Items,Housing & Utilities,26.832
1963-03,All Items,Household Durables & Services,31.477
1963-03,All Items,Health Care,18.604
1963-03,All Items,Transport,20.522
1963-03,All Items,Communication,89.155
1963-03,All Items,Recreation & Culture,49.124
1963-03,All Items,Education,15.412
1963-03,All Items,Miscellaneous Goods & Services,18.822
1963-04,All Items,Food,21.857
1963-04,All Items,Food Excl Food Serving Services,na
1963-04,All Items,Food Serving Services,na
1963-04,All Items,Clothing & Footwear,53.236
1963-04,All Items,Housing & Utilities,26.868
1963-04,All Items,Household Durables & Services,31.471
1963-04,All Items,Health Care,18.604
1963-04,All Items,Transport,20.522
1963-04,All Items,Communication,89.155
1963-04,All Items,Recreation & Culture,49.124
1963-04,All Items,Education,15.412
1963-04,All Items,Miscellaneous Goods & Services,18.822
1963-05,All Items,Food,22.05
1963-05,All Items,Food Excl Food Serving Services,na
1963-05,All Items,Food Serving Services,na
1963-05,All Items,Clothing & Footwear,53.307
1963-05,All Items,Housing & Utilities,26.865
1963-05,All Items,Household Durables & Services,31.477
1963-05,All Items,Health Care,18.604
1963-05,All Items,Transport,20.522
1963-05,All Items,Communication,89.155
1963-05,All Items,Recreation & Culture,49.124
1963-05,All Items,Education,15.412
1963-05,All Items,Miscellaneous Goods & Services,18.822
1963-06,All Items,Food,22.169
1963-06,All Items,Food Excl Food Serving Services,na
1963-06,All Items,Food Serving Services,na
1963-06,All Items,Clothing & Footwear,53.307
1963-06,All Items,Housing & Utilities,26.865
1963-06,All Items,Household Durables & Services,31.477
1963-06,All Items,Health Care,18.604
1963-06,All Items,Transport,20.544
