month,level_1,level_2,value
1990-05,All Items,Health Care,46.872
1990-05,All Items,Transport,58.274
1990-05,All Items,Communication,125.254
1990-05,All Items,Recreation & Culture,79.871
1990-05,All Items,Education,34.385
1990-05,All Items,Miscellaneous Goods & Services,54.916
1990-06,All Items,Food,58.718
1990-06,All Items,Food Excl Food Serving Services,58.88
1990-06,All Items,Food Serving Services,58.05
1990-06,All Items,Clothing & Footwear,86.234
1990-06,All Items,Housing & Utilities,61.845
1990-06,All Items,Household Durables & Services,75.495
1990-06,All Items,Health Care,46.942
1990-06,All Items,Transport,58.146
1990-06,All Items,Communication,125.254
1990-06,All Items,Recreation & Culture,79.813
1990-06,All Items,Education,34.632
1990-06,All Items,Miscellaneous Goods & Services,54.956
1990-07,All Items,Food,58.462
1990-07,All Items,Food Excl Food Serving Services,58.25
1990-07,All Items,Food Serving Services,58.174
1990-07,All Items,Clothing & Footwear,86.288
1990-07,All Items,Housing & Utilities,62.476
1990-07,All Items,Household Durables & Services,75.495
1990-07,All Items,Health Care,47.478
1990-07,All Items,Transport,58.079
1990-07,All Items,Communication,125.254
1990-07,All Items,Recreation & Culture,80.032
1990-07,All Items,Education,34.888
1990-07,All Items,Miscellaneous Goods & Services,55.015
1990-08,All Items,Food,58.476
1990-08,All Items,Food Excl Food Serving Services,58.099
1990-08,All Items,Food Serving Services,58.354
1990-08,All Items,Clothing & Footwear,84.785
1990-08,All Items,Housing & Utilities,62.476
1990-08,All Items,Household Durables & Services,76.136
1990-08,All Items,Health Care,48.108
1990-08,All Items,Transport,59.637
1990-08,All Items,Communication,125.254
1990-08,All Items,Recreation & Culture,79.913
1990-08,All Items,Education,34.912
1990-08,All Items,Miscellaneous Goods & Services,55.021
1990-09,All Items,Food,58.158
1990-09,All Items,Food Excl Food Serving Services,57.376
1990-09,All Items,Food Serving Services,58.448
1990-09,All Items,Clothing & Footwear,85.801
1990-09,All Items,Housing & Utilities,62.587
1990-09,All Items,Household Durables & Services,76.174
1990-09,All Items,Health Care,48.293
1990-09,All Items,Transport,62.936
1990-09,All Items,Communication,125.254
1990-09,All Items,Recreation & Culture,79.927
1990-09,All Items,Education,35.048
1990-09,All Items,Miscellaneous Goods & Services,55.003
1990-10,All Items,Food,58.138
1990-10,All Items,Food Excl Food Serving Services,57.24
1990-10,All Items,Food Serving Services,58.545
1990-10,All Items,Clothing & Footwear,86.375
1990-10,All Items,Housing & Utilities,62.748
1990-10,All Items,Household Durables & Services,76.175
1990-10,All Items,Health Care,48.469
1990-10,All Items,Transport,65.827
1990-10,All Items,Communication,125.254
1990-10,All Items,Recreation & Culture,80.151
1990-10,All Items,Education,35.314
1990-10,All Items,Miscellaneous Goods & Services,54.994
1990-11,All Items,Food,58.396
1990-11,All Items,Food Excl Food Serving Services,57.696
1990-11,All Items,Food Serving Services,58.602
1990-11,All Items,Clothing & Footwear,86.401
1990-11,All Items,Housing & Utilities,63.551
1990-11,All Items,Household Durables & Services,76.043
1990-11,All Items,Health Care,48.478
1990-11,All Items,Transport,64.085
1990-11,All Items,Communication,125.254
1990-11,All Items,Recreation & Culture,80.39
1990-11,All Items,Education,35.363
1990-11,All Items,Miscellaneous Goods & Services,55.04
1990-12,All Items,Food,58.91
1990-12,All Items,Food Excl Food Serving Services,58.649
1990-12,All Items,Food Serving Services,58.669
1990-12,All Items,Clothing & Footwear,86.402
1990-12,All Items,Housing & Utilities,63.684
1990-12,All Items,Household Durables & Services,75.988
1990-12,All Items,Health Care,48.453
1990-12,All Items,Transport,63.667
1990-12,All Items,Communication,125.254
1990-12,All Items,Recreation & Culture,81.531
1990-12,All Items,Education,35.383
1990-12,All Items,Miscellaneous Goods & Services,55.846
1991-01,All Items,Food,58.441
1991-01,All Items,Food Excl Food Serving Services,57.595
1991-01,All Items,Food Serving Services,58.794
1991-01,All Items,Clothing & Footwear,87.072
1991-01,All Items,Housing & Utilities,63.801
1991-01,All Items,Household Durables & Services,76.156
1991-01,All Items,Health Care,50.527
1991-01,All Items,Transport,63.443
1991-01,All Items,Communication,126.205
1991-01,All Items,Recreation & Culture,81.923
1991-01,All Items,Education,37.019
1991-01,All Items,Miscellaneous Goods & Services,56.469
1991-02,All Items,Food,59.287
1991-02,All Items,Food Excl Food Serving Services,59.08
1991-02,All Items,Food Serving Services,58.988
1991-02,All Items,Clothing & Footwear,87.159
1991-02,All Items,Housing & Utilities,63.8
1991-02,All Items,Household Durables & Services,75.936
1991-02,All Items,Health Care,50.596
1991-02,All Items,Transport,64.569
1991-02,All Items,Communication,126.205
1991-02,All Items,Recreation & Culture,81.959
1991-02,All Items,Education,37.019
1991-02,All Items,Miscellaneous Goods & Services,56.508
1991-03,All Items,Food,58.792
1991-03,All Items,Food Excl Food Serving Services,57.995
1991-03,All Items,Food Serving Services,59.093
1991-03,All Items,Clothing & Footwear,87.164
1991-03,All Items,Housing & Utilities,63.672
1991-03,All Items,Household Durables & Services,75.96
1991-03,All Items,Health Care,50.839
1991-03,All Items,Transport,63.068
1991-03,All Items,Communication,126.205
1991-03,All Items,Recreation & Culture,82.264
1991-03,All Items,Education,37.281
1991-03,All Items,Miscellaneous Goods & Services,57.821
1991-04,All Items,Food,59.301
1991-04,All Items,Food Excl Food Serving Services,58.842
1991-04,All Items,Food Serving Services,59.255
1991-04,All Items,Clothing & Footwear,87.132
1991-04,All Items,Housing & Utilities,63.942
1991-04,All Items,Household Durables & Services,75.907
1991-04,All Items,Health Care,50.795
1991-04,All Items,Transport,63.449
1991-04,All Items,Communication,126.205
1991-04,All Items,Recreation & Culture,82.52
1991-04,All Items,Education,37.321
1991-04,All Items,Miscellaneous Goods & Services,57.966
1991-05,All Items,Food,59.654
1991-05,All Items,Food Excl Food Serving Services,59.482
1991-05,All Items,Food Serving Services,59.316
1991-05,All Items,Clothing & Footwear,87.172
1991-05,All Items,Housing & Utilities,63.276
1991-05,All Items,Household Durables & Services,76.324
1991-05,All Items,Health Care,51.001
1991-05,All Items,Transport,64.331
1991-05,All Items,Communication,126.205
1991-05,All Items,Recreation & Culture,82.472
1991-05,All Items,Education,37.343
1991-05,All Items,Miscellaneous Goods & Services,57.98
1991-06,All Items,Food,59.591
1991-06,All Items,Food Excl Food Serving Services,59.379
1991-06,All Items,Food Serving Services,59.293
1991-06,All Items,Clothing & Footwear,87.43
1991-06,All Items,Housing & Utilities,63.277
1991-06,All Items,Household Durables & Services,76.425
1991-06,All Items,Health Care,51.268
1991-06,All Items,Transport,65.225
1991-06,All Items,Communication,126.205
1991-06,All Items,Recreation & Culture,82.46
1991-06,All Items,Education,37.645
1991-06,All Items,Miscellaneous Goods & Services,58.036
1991-07,All Items,Food,59.487
1991-07,All Items,Food Excl Food Serving Services,59.033
1991-07,All Items,Food Serving Services,59.434
1991-07,All Items,Clothing & Footwear,87.049
1991-07,All Items,Housing & Utilities,63.339
1991-07,All Items,Household Durables & Services,76.465
1991-07,All Items,Health Care,51.419
1991-07,All Items,Transport,65.166
1991-07,All Items,Communication,126.205
1991-07,All Items,Recreation & Culture,83.314
1991-07,All Items,Education,39.104
1991-07,All Items,Miscellaneous Goods & Services,58.042
1991-08,All Items,Food,59.667
1991-08,All Items,Food Excl Food Serving Services,59.219
1991-08,All Items,Food Serving Services,59.607
1991-08,All Items,Clothing & Footwear,86.681
1991-08,All Items,Housing & Utilities,63.336
1991-08,All Items,Household Durables & Services,76.35
1991-08,All Items,Health Care,51.53
1991-08,All Items,Transport,65.453
1991-08,All Items,Communication,126.205
1991-08,All Items,Recreation & Culture,84.45
1991-08,All Items,Education,39.104
1991-08,All Items,Miscellaneous Goods & Services,57.831
1991-09,All Items,Food,59.378
1991-09,All Items,Food Excl Food Serving Services,58.586
1991-09,All Items,Food Serving Services,59.668
1991-09,All Items,Clothing & Footwear,87.787
1991-09,All Items,Housing & Utilities,63.336
1991-09,All Items,Household Durables & Services,76.425
1991-09,All Items,Health Care,51.61
1991-09,All Items,Transport,65.585
1991-09,All Items,Communication,126.205
1991-09,All Items,Recreation & Culture,84.327
1991-09,All Items,Education,39.129
1991-09,All Items,Miscellaneous Goods & Services,58.135
1991-10,All Items,Food,59.332
1991-10,All Items,Food Excl Food Serving Services,58.461
1991-10,All Items,Food Serving Services,59.703
1991-10,All Items,Clothing & Footwear,88.247
1991-10,All Items,Housing & Utilities,63.772
1991-10,All Items,Household Durables & Services,76.415
1991-10,All Items,Health Care,51.632
1991-10,All Items,Transport,64.796
1991-10,All Items,Communication,126.205
1991-10,All Items,Recreation & Culture,84.248
1991-10,All Items,Education,39.157
1991-10,All Items,Miscellaneous Goods & Services,59.354
1991-11,All Items,Food,59.516
1991-11,All Items,Food Excl Food Serving Services,58.824
1991-11,All Items,Food Serving Services,59.705
1991-11,All Items,Clothing & Footwear,88.4
1991-11,All Items,Housing & Utilities,63.392
1991-11,All Items,Household Durables & Services,76.452
1991-11,All Items,Health Care,51.865
1991-11,All Items,Transport,65.236
1991-11,All Items,Communication,126.205
1991-11,All Items,Recreation & Culture,84.247
1991-11,All Items,Education,39.158
1991-11,All Items,Miscellaneous Goods & Services,59.354
1991-12,All Items,Food,60.5
1991-12,All Items,Food Excl Food Serving Services,60.71
1991-12,All Items,Food Serving Services,59.769
1991-12,All Items,Clothing & Footwear,88.72
1991-12,All Items,Housing & Utilities,63.392
1991-12,All Items,Household Durables & Services,76.372
1991-12,All Items,Health Care,51.873
1991-12,All Items,Transport,65.902
1991-12,All Items,Communication,126.205
1991-12,All Items,Recreation & Culture,84.199
1991-12,All Items,Education,39.165
1991-12,All Items,Miscellaneous Goods & Services,59.387
1992-01,All Items,Food,60.02
1992-01,All Items,Food Excl Food Serving Services,59.78
1992-01,All Items,Food Serving Services,59.747
1992-01,All Items,Clothing & Footwear,89.622
1992-01,All Items,Housing & Utilities,63.895
1992-01,All Items,Household Durables & Services,76.416
1992-01,All Items,Health Care,52.009
1992-01,All Items,Transport,66.182
1992-01,All Items,Communication,126.205
1992-01,All Items,Recreation & Culture,84.277
1992-01,All Items,Education,39.999
1992-01,All Items,Miscellaneous Goods & Services,59.303
1992-02,All Items,Food,60.08
1992-02,All Items,Food Excl Food Serving Services,59.826
1992-02,All Items,Food Serving Services,59.821
1992-02,All Items,Clothing & Footwear,88.575
1992-02,All Items,Housing & Utilities,63.704
1992-02,All Items,Household Durables & Services,76.453
1992-02,All Items,Health Care,51.981
1992-02,All Items,Transport,65.436
1992-02,All Items,Communication,126.205
1992-02,All Items,Recreation & Culture,85.288
1992-02,All Items,Education,39.999
1992-02,All Items,Miscellaneous Goods & Services,59.279
1992-03,All Items,Food,59.73
1992-03,All Items,Food Excl Food Serving Services,59.024
1992-03,All Items,Food Serving Services,59.931
1992-03,All Items,Clothing & Footwear,89.625
1992-03,All Items,Housing & Utilities,63.704
1992-03,All Items,Household Durables & Services,76.439
1992-03,All Items,Health Care,52.073
1992-03,All Items,Transport,65.311
1992-03,All Items,Communication,126.205
1992-03,All Items,Recreation & Culture,85.175
1992-03,All Items,Education,40.193
1992-03,All Items,Miscellaneous Goods & Services,59.317
1992-04,All Items,Food,59.934
1992-04,All Items,Food Excl Food Serving Services,59.318
1992-04,All Items,Food Serving Services,60.043
1992-04,All Items,Clothing & Footwear,89.676
1992-04,All Items,Housing & Utilities,64.914
1992-04,All Items,Household Durables & Services,78.384
1992-04,All Items,Health Care,52.18
1992-04,All Items,Transport,65.757
1992-04,All Items,Communication,126.205
1992-04,All Items,Recreation & Culture,84.852
1992-04,All Items,Education,40.343
1992-04,All Items,Miscellaneous Goods & Services,59.427
1992-05,All Items,Food,60.342
1992-05,All Items,Food Excl Food Serving Services,59.973
1992-05,All Items,Food Serving Services,60.197
1992-05,All Items,Clothing & Footwear,89.63
1992-05,All Items,Housing & Utilities,64.914
1992-05,All Items,Household Durables & Services,78.377
1992-05,All Items,Health Care,52.185
1992-05,All Items,Transport,66.754
1992-05,All Items,Communication,126.205
1992-05,All Items,Recreation & Culture,85.157
1992-05,All Items,Education,40.343
1992-05,All Items,Miscellaneous Goods & Services,59.5
1992-06,All Items,Food,60.296
1992-06,All Items,Food Excl Food Serving Services,59.847
1992-06,All Items,Food Serving Services,60.231
1992-06,All Items,Clothing & Footwear,89.823
1992-06,All Items,Housing & Utilities,64.93
1992-06,All Items,Household Durables & Services,78.353
1992-06,All Items,Health Care,52.648
1992-06,All Items,Transport,66.84
1992-06,All Items,Communication,126.205
1992-06,All Items,Recreation & Culture,85.068
1992-06,All Items,Education,40.343
1992-06,All Items,Miscellaneous Goods & Services,59.415
1992-07,All Items,Food,60.493
1992-07,All Items,Food Excl Food Serving Services,60.223
1992-07,All Items,Food Serving Services,60.247
1992-07,All Items,Clothing & Footwear,89.838
1992-07,All Items,Housing & Utilities,65.794
1992-07,All Items,Household Durables & Services,78.74
1992-07,All Items,Health Care,52.757
1992-07,All Items,Transport,67.064
1992-07,All Items,Communication,126.205
1992-07,All Items,Recreation & Culture,84.673
1992-07,All Items,Education,41.175
1992-07,All Items,Miscellaneous Goods & Services,59.436
1992-08,All Items,Food,60.204
1992-08,All Items,Food Excl Food Serving Services,59.575
1992-08,All Items,Food Serving Services,60.324
1992-08,All Items,Clothing & Footwear,88.615
1992-08,All Items,Housing & Utilities,65.794
1992-08,All Items,Household Durables & Services,78.756
1992-08,All Items,Health Care,52.758
1992-08,All Items,Transport,67.26
1992-08,All Items,Communication,126.205
1992-08,All Items,Recreation & Culture,84.966
1992-08,All Items,Education,41.155
1992-08,All Items,Miscellaneous Goods & Services,59.497
1992-09,All Items,Food,60.064
1992-09,All Items,Food Excl Food Serving Services,59.228
1992-09,All Items,Food Serving Services,60.393
1992-09,All Items,Clothing & Footwear,89.946
1992-09,All Items,Housing & Utilities,65.791
1992-09,All Items,Household Durables & Services,78.65
1992-09,All Items,Health Care,52.759
1992-09,All Items,Transport,67.268
1992-09,All Items,Communication,126.205
1992-09,All Items,Recreation & Culture,85.424
1992-09,All Items,Education,41.181
1992-09,All Items,Miscellaneous Goods & Services,59.837
1992-10,All Items,Food,59.99
1992-10,All Items,Food Excl Food Serving Services,59.069
1992-10,All Items,Food Serving Services,60.406
1992-10,All Items,Clothing & Footwear,89.841
1992-10,All Items,Housing & Utilities,66.041
1992-10,All Items,Household Durables & Services,78.656
1992-10,All Items,Health Care,52.806
1992-10,All Items,Transport,67.569
1992-10,All Items,Communication,126.205
1992-10,All Items,Recreation & Culture,85.138
1992-10,All Items,Education,41.181
1992-10,All Items,Miscellaneous Goods & Services,61.75
1992-11,All Items,Food,60.051
1992-11,All Items,Food Excl Food Serving Services,59.14
1992-11,All Items,Food Serving Services,60.456
1992-11,All Items,Clothing & Footwear,90.082
1992-11,All Items,Housing & Utilities,66.232
1992-11,All Items,Household Durables & Services,78.805
1992-11,All Items,Health Care,53.03
1992-11,All Items,Transport,68.016
1992-11,All Items,Communication,126.205
1992-11,All Items,Recreation & Culture,85.767
1992-11,All Items,Education,41.191
1992-11,All Items,Miscellaneous Goods & Services,61.789
1992-12,All Items,Food,60.317
1992-12,All Items,Food Excl Food Serving Services,59.584
1992-12,All Items,Food Serving Services,60.54
1992-12,All Items,Clothing & Footwear,90.214
1992-12,All Items,Housing & Utilities,66.236
1992-12,All Items,Household Durables & Services,78.809
1992-12,All Items,Health Care,53.014
1992-12,All Items,Transport,67.435
1992-12,All Items,Communication,126.205
1992-12,All Items,Recreation & Culture,86.167
1992-12,All Items,Education,41.191
1992-12,All Items,Miscellaneous Goods & Services,61.768
1993-01,All Items,Food,61.278
1993-01,All Items,Food Excl Food Serving Services,61.171
1993-01,All Items,Food Serving Services,60.908
1993-01,All Items,Clothing & Footwear,90.289
1993-01,All Items,Housing & Utilities,67.132
1993-01,All Items,Household Durables & Services,79.025
1993-01,All Items,Health Care,53.24
1993-01,All Items,Transport,66.927
1993-01,All Items,Communication,125.473
1993-01,All Items,Recreation & Culture,86.309
1993-01,All Items,Education,41.931
1993-01,All Items,Miscellaneous Goods & Services,62.42
1993-02,All Items,Food,60.301
1993-02,All Items,Food Excl Food Serving Services,59.152
1993-02,All Items,Food Serving Services,60.942
1993-02,All Items,Clothing & Footwear,90.498
1993-02,All Items,Housing & Utilities,67.132
1993-02,All Items,Household Durables & Services,79.049
1993-02,All Items,Health Care,53.352
1993-02,All Items,Transport,66.725
1993-02,All Items,Communication,125.473
1993-02,All Items,Recreation & Culture,86.311
1993-02,All Items,Education,41.965
1993-02,All Items,Miscellaneous Goods & Services,62.805
1993-03,All Items,Food,60.315
1993-03,All Items,Food Excl Food Serving Services,59.001
1993-03,All Items,Food Serving Services,61.114
1993-03,All Items,Clothing & Footwear,90.346
1993-03,All Items,Housing & Utilities,67.243
1993-03,All Items,Household Durables & Services,79.134
1993-03,All Items,Health Care,53.358
1993-03,All Items,Transport,67.203
1993-03,All Items,Communication,125.217
1993-03,All Items,Recreation & Culture,86.337
1993-03,All Items,Education,41.978
1993-03,All Items,Miscellaneous Goods & Services,63.964
1993-04,All Items,Food,60.48
1993-04,All Items,Food Excl Food Serving Services,59.298
1993-04,All Items,Food Serving Services,61.152
1993-04,All Items,Clothing & Footwear,90.644
1993-04,All Items,Housing & Utilities,67.304
1993-04,All Items,Household Durables & Services,79.25
1993-04,All Items,Health Care,53.42
1993-04,All Items,Transport,67.945
1993-04,All Items,Communication,125.217
1993-04,All Items,Recreation & Culture,86.366
1993-04,All Items,Education,42.091
1993-04,All Items,Miscellaneous Goods & Services,63.914
1993-05,All Items,Food,60.801
1993-05,All Items,Food Excl Food Serving Services,59.865
1993-05,All Items,Food Serving Services,61.233
1993-05,All Items,Clothing & Footwear,90.861
1993-05,All Items,Housing & Utilities,67.304
1993-05,All Items,Household Durables & Services,79.287
1993-05,All Items,Health Care,53.458
1993-05,All Items,Transport,68.268
1993-05,All Items,Communication,125.217
1993-05,All Items,Recreation & Culture,86.546
1993-05,All Items,Education,42.091
1993-05,All Items,Miscellaneous Goods & Services,64.032
1993-06,All Items,Food,60.512
1993-06,All Items,Food Excl Food Serving Services,59.217
1993-06,All Items,Food Serving Services,61.291
1993-06,All Items,Clothing & Footwear,90.923
1993-06,All Items,Housing & Utilities,67.417
1993-06,All Items,Household Durables & Services,79.428
1993-06,All Items,Health Care,54.197
1993-06,All Items,Transport,68.55
1993-06,All Items,Communication,125.217
1993-06,All Items,Recreation & Culture,86.707
1993-06,All Items,Education,42.091
1993-06,All Items,Miscellaneous Goods & Services,64.132
1993-07,All Items,Food,60.881
1993-07,All Items,Food Excl Food Serving Services,59.78
1993-07,All Items,Food Serving Services,61.472
1993-07,All Items,Clothing & Footwear,91.149
1993-07,All Items,Housing & Utilities,67.624
1993-07,All Items,Household Durables & Services,79.456
1993-07,All Items,Health Care,54.872
1993-07,All Items,Transport,68.942
1993-07,All Items,Communication,125.217
1993-07,All Items,Recreation & Culture,87.01
1993-07,All Items,Education,42.723
1993-07,All Items,Miscellaneous Goods & Services,64.204
1993-08,All Items,Food,60.698
1993-08,All Items,Food Excl Food Serving Services,59.275
1993-08,All Items,Food Serving Services,61.6
1993-08,All Items,Clothing & Footwear,90.324
1993-08,All Items,Housing & Utilities,67.632
1993-08,All Items,Household Durables & Services,79.453
1993-08,All Items,Health Care,54.86
1993-08,All Items,Transport,68.902
1993-08,All Items,Communication,125.217
1993-08,All Items,Recreation & Culture,86.983
1993-08,All Items,Education,42.723
1993-08,All Items,Miscellaneous Goods & Services,64.161
1993-09,All Items,Food,60.457
1993-09,All Items,Food Excl Food Serving Services,58.758
1993-09,All Items,Food Serving Services,61.625
1993-09,All Items,Clothing & Footwear,90.711
1993-09,All Items,Housing & Utilities,67.733
1993-09,All Items,Household Durables & Services,79.437
1993-09,All Items,Health Care,54.955
1993-09,All Items,Transport,69.364
1993-09,All Items,Communication,125.217
1993-09,All Items,Recreation & Culture,87.025
1993-09,All Items,Education,42.854
1993-09,All Items,Miscellaneous Goods & Services,64.215
1993-10,All Items,Food,60.651
1993-10,All Items,Food Excl Food Serving Services,59.168
1993-10,All Items,Food Serving Services,61.608
1993-10,All Items,Clothing & Footwear,91.328
1993-10,All Items,Housing & Utilities,68.013
1993-10,All Items,Household Durables & Services,79.409
1993-10,All Items,Health Care,54.973
1993-10,All Items,Transport,69.909
1993-10,All Items,Communication,125.217
1993-10,All Items,Recreation & Culture,86.868
1993-10,All Items,Education,42.854
1993-10,All Items,Miscellaneous Goods & Services,64.751
1993-11,All Items,Food,60.929
1993-11,All Items,Food Excl Food Serving Services,59.73
1993-11,All Items,Food Serving Services,61.613
1993-11,All Items,Clothing & Footwear,91.36
1993-11,All Items,Housing & Utilities,68.014
1993-11,All Items,Household Durables & Services,79.42
1993-11,All Items,Health Care,54.973
1993-11,All Items,Transport,70.617
1993-11,All Items,Communication,125.217
1993-11,All Items,Recreation & Culture,86.942
1993-11,All Items,Education,42.858
1993-11,All Items,Miscellaneous Goods & Services,64.966
1993-12,All Items,Food,61.178
1993-12,All Items,Food Excl Food Serving Services,60.163
1993-12,All Items,Food Serving Services,61.682
1993-12,All Items,Clothing & Footwear,91.46
1993-12,All Items,Housing & Utilities,68.013
1993-12,All Items,Household Durables & Services,79.435
1993-12,All Items,Health Care,55.094
1993-12,All Items,Transport,71.651
1993-12,All Items,Communication,124.738
1993-12,All Items,Recreation & Culture,86.943
1993-12,All Items,Education,42.896
1993-12,All Items,Miscellaneous Goods & Services,64.963
1994-01,All Items,Food,61.375
1994-01,All Items,Food Excl Food Serving Services,60.035
1994-01,All Items,Food Serving Services,62.191
1994-01,All Items,Clothing & Footwear,91.885
1994-01,All Items,Housing & Utilities,68.135
1994-01,All Items,Household Durables & Services,79.54
1994-01,All Items,Health Care,55.12
1994-01,All Items,Transport,72.81
1994-01,All Items,Communication,124.459
1994-01,All Items,Recreation & Culture,87.466
1994-01,All Items,Education,43.24
1994-01,All Items,Miscellaneous Goods & Services,65.179
1994-02,All Items,Food,62.598
1994-02,All Items,Food Excl Food Serving Services,62.195
1994-02,All Items,Food Serving Services,62.502
1994-02,All Items,Clothing & Footwear,91.342
1994-02,All Items,Housing & Utilities,67.956
1994-02,All Items,Household Durables & Services,79.527
1994-02,All Items,Health Care,55.388
1994-02,All Items,Transport,71.874
1994-02,All Items,Communication,124.459
1994-02,All Items,Recreation & Culture,87.429
1994-02,All Items,Education,43.24
1994-02,All Items,Miscellaneous Goods & Services,65.064
1994-03,All Items,Food,61.944
1994-03,All Items,Food Excl Food Serving Services,60.852
1994-03,All Items,Food Serving Services,62.516
1994-03,All Items,Clothing & Footwear,91.702
1994-03,All Items,Housing & Utilities,67.958
1994-03,All Items,Household Durables & Services,79.537
1994-03,All Items,Health Care,55.396
1994-03,All Items,Transport,70.643
1994-03,All Items,Communication,124.459
1994-03,All Items,Recreation & Culture,87.72
1994-03,All Items,Education,43.31
1994-03,All Items,Miscellaneous Goods & Services,65.069
1994-04,All Items,Food,62.174
1994-04,All Items,Food Excl Food Serving Services,60.175
1994-04,All Items,Food Serving Services,63.617
1994-04,All Items,Clothing & Footwear,92.608
1994-04,All Items,Housing & Utilities,68.513
1994-04,All Items,Household Durables & Services,79.987
1994-04,All Items,Health Care,55.648
1994-04,All Items,Transport,71.551
1994-04,All Items,Communication,127.66
1994-04,All Items,Recreation & Culture,88.275
1994-04,All Items,Education,43.543
1994-04,All Items,Miscellaneous Goods & Services,65.787
1994-05,All Items,Food,62.88
1994-05,All Items,Food Excl Food Serving Services,61.256
1994-05,All Items,Food Serving Services,63.957
1994-05,All Items,Clothing & Footwear,92.789
1994-05,All Items,Housing & Utilities,68.5
1994-05,All Items,Household Durables & Services,80.011
1994-05,All Items,Health Care,55.672
1994-05,All Items,Transport,72.455
1994-05,All Items,Communication,127.66
1994-05,All Items,Recreation & Culture,88.004
1994-05,All Items,Education,43.572
1994-05,All Items,Miscellaneous Goods & Services,65.792
1994-06,All Items,Food,63.134
1994-06,All Items,Food Excl Food Serving Services,61.699
1994-06,All Items,Food Serving Services,64.028
1994-06,All Items,Clothing & Footwear,93.072
1994-06,All Items,Housing & Utilities,68.644
1994-06,All Items,Household Durables & Services,79.976
1994-06,All Items,Health Care,55.827
1994-06,All Items,Transport,73.97
1994-06,All Items,Communication,127.269
1994-06,All Items,Recreation & Culture,87.902
1994-06,All Items,Education,43.589
1994-06,All Items,Miscellaneous Goods & Services,65.859
1994-07,All Items,Food,63.3
1994-07,All Items,Food Excl Food Serving Services,61.831
1994-07,All Items,Food Serving Services,64.225
1994-07,All Items,Clothing & Footwear,92.892
1994-07,All Items,Housing & Utilities,68.442
1994-07,All Items,Household Durables & Services,80.364
1994-07,All Items,Health Care,55.886
1994-07,All Items,Transport,74.557
1994-07,All Items,Communication,127.149
1994-07,All Items,Recreation & Culture,87.819
1994-07,All Items,Education,44.04
1994-07,All Items,Miscellaneous Goods & Services,65.89
1994-08,All Items,Food,63.164
1994-08,All Items,Food Excl Food Serving Services,61.506
1994-08,All Items,Food Serving Services,64.272
1994-08,All Items,Clothing & Footwear,93.635
1994-08,All Items,Housing & Utilities,68.661
1994-08,All Items,Household Durables & Services,80.342
1994-08,All Items,Health Care,55.884
1994-08,All Items,Transport,74.995
1994-08,All Items,Communication,127.149
1994-08,All Items,Recreation & Culture,87.781
1994-08,All Items,Education,44.04
1994-08,All Items,Miscellaneous Goods & Services,65.984
1994-09,All Items,Food,63.21
1994-09,All Items,Food Excl Food Serving Services,61.555
1994-09,All Items,Food Serving Services,64.314
1994-09,All Items,Clothing & Footwear,93.227
1994-09,All Items,Housing & Utilities,68.68
1994-09,All Items,Household Durables & Services,80.3
1994-09,All Items,Health Care,55.897
1994-09,All Items,Transport,75.329
1994-09,All Items,Communication,124.502
1994-09,All Items,Recreation & Culture,87.835
1994-09,All Items,Education,44.04
1994-09,All Items,Miscellaneous Goods & Services,66.032
1994-10,All Items,Food,63.409
1994-10,All Items,Food Excl Food Serving Services,61.86
1994-10,All Items,Food Serving Services,64.411
1994-10,All Items,Clothing & Footwear,93.558
1994-10,All Items,Housing & Utilities,68.733
1994-10,All Items,Household Durables & Services,80.346
1994-10,All Items,Health Care,56.089
1994-10,All Items,Transport,76.172
1994-10,All Items,Communication,123.783
1994-10,All Items,Recreation & Culture,87.728
1994-10,All Items,Education,44.265
1994-10,All Items,Miscellaneous Goods & Services,66.409
1994-11,All Items,Food,63.545
1994-11,All Items,Food Excl Food Serving Services,62.067
1994-11,All Items,Food Serving Services,64.478
1994-11,All Items,Clothing & Footwear,94.074
1994-11,All Items,Housing & Utilities,68.75
1994-11,All Items,Household Durables & Services,80.39
1994-11,All Items,Health Care,56.082
1994-11,All Items,Transport,77.466
1994-11,All Items,Communication,123.259
1994-11,All Items,Recreation & Culture,87.711
1994-11,All Items,Education,44.288
1994-11,All Items,Miscellaneous Goods & Services,66.621
1994-12,All Items,Food,63.529
1994-12,All Items,Food Excl Food Serving Services,61.89
1994-12,All Items,Food Serving Services,64.616
1994-12,All Items,Clothing & Footwear,94.35
1994-12,All Items,Housing & Utilities,68.751
1994-12,All Items,Household Durables & Services,80.351
1994-12,All Items,Health Care,56.088
1994-12,All Items,Transport,76.049
1994-12,All Items,Communication,122.614
1994-12,All Items,Recreation & Culture,87.641
1994-12,All Items,Education,44.298
1994-12,All Items,Miscellaneous Goods & Services,66.589
1995-01,All Items,Food,64.269
1995-01,All Items,Food Excl Food Serving Services,63.255
1995-01,All Items,Food Serving Services,64.75
1995-01,All Items,Clothing & Footwear,94.36
1995-01,All Items,Housing & Utilities,68.797
1995-01,All Items,Household Durables & Services,80.619
1995-01,All Items,Health Care,56.324
1995-01,All Items,Transport,74.659
1995-01,All Items,Communication,122.614
1995-01,All Items,Recreation & Culture,87.992
1995-01,All Items,Education,44.968
1995-01,All Items,Miscellaneous Goods & Services,66.545
1995-02,All Items,Food,64.632
