,address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
2587,469 TAMPINES ST 44,520469,1.360311544,103.9546641,469 TAMPINES STREET 44 SINGAPORE 520469,"(1.360311544, 103.95466409999999)",Tampines East,0.453903114,Loyang   Point    Singapore ,1.298469926,NTUC Fairprice Co-operative Ltd,0.170985969,Blk 137 Tampines Street 11,1.965485038,14.25516175
2588,223 TAMPINES ST 24,521223,1.355384475,103.9532045,223 TAMPINES STREET 24 SINGAPORE 521223,"(1.355384475, 103.9532045)",Tampines East,0.272161008,Tampines   Mall    Singapore ,1.025427519,YES SUPERMARKET PTE LTD,0.217651613,Blk 137 Tampines Street 11,1.43401091,13.80301474
2589,443 TAMPINES ST 43,520443,1.358855069,103.9518989,443 TAMPINES STREET 43 PCF SPARKLETOTS PRESCHOOL @ TAMPINES NORTH BLK 443 (KN) SINGAPORE 520443,"(1.358855069, 103.9518989)",Tampines East,0.487614356,Tampines 1    Singapore ,1.070563792,NTUC Fairprice Co-operative Ltd,0.21274904,Blk 137 Tampines Street 11,1.664973118,13.91184863
2590,470 TAMPINES ST 44,520470,1.360840006,103.9544584,470 TAMPINES STREET 44 TAMPINES FAMILY SERVICE CENTRE SINGAPORE 520470,"(1.3608400059999999, 103.95445840000001)",Tampines East,0.51613849,Loyang   Point    Singapore ,1.288502387,NTUC Fairprice Co-operative Ltd,0.158866958,Blk 137 Tampines Street 11,2.00142626,14.27188365
2591,428 TAMPINES ST 41,520428,1.359086166,103.948911,428 TAMPINES STREET 41 MY WORLD PRESCHOOL LTD. SINGAPORE 520428,"(1.359086166, 103.948911)",Tampines East,0.791881821,Tampines 1    Singapore ,0.788573177,SHENG SIONG SUPERMARKET PTE LTD,0.486285689,Blk 137 Tampines Street 11,1.554989066,13.66279838
2592,20 LOR 7 TOA PAYOH,310020,1.334967209,103.8572059,20 LORONG 7 TOA PAYOH KIM KEAT PALM SINGAPORE 310020,"(1.334967209, 103.8572059)",Toa Payoh,1.122817903,HDB   Hub   Singapore ,1.15910321,COLD STORAGE SINGAPORE (1983) PTE LTD,0.318246549,Blk 22 Toa Payoh Lorong 7,0.034927762,5.699257551
2593,83 LOR 2 TOA PAYOH,310083,1.335787904,103.847992,83 LORONG 2 TOA PAYOH PRECIOUS ANGELS PLAYLAND SINGAPORE 310083,"(1.335787904, 103.847992)",Toa Payoh,0.381206315,HDB   Hub   Singapore ,0.417934467,NTUC Fairprice Co-operative Ltd,0.350294095,Blk 93 Toa Payoh Lorong 4,0.336202793,5.770490093
2594,92 LOR 4 TOA PAYOH,310092,1.338070816,103.8494572,92 LORONG 4 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310092,"(1.3380708159999999, 103.8494572)",Braddell,0.380494183,HDB   Hub   Singapore ,0.708744112,COLD STORAGE SINGAPORE (1983) PTE LTD,0.522739012,Blk 93 Toa Payoh Lorong 4,0.038656049,6.015068977
2595,218 MARSILING CRES,730218,1.446521069,103.7733905,218 MARSILING CRESCENT SINGAPORE 730218,"(1.446521069, 103.7733905)",Marsiling,1.552586624,Marsiling   Mall    Singapore ,1.609835433,NTUC Fairprice Co-operative Ltd,1.558578476,Marsiling Lane Food Centre,0.517261237,20.05267435
2596,26 MARSILING DR,730026,1.441963079,103.7732218,26 MARSILING DRIVE MARSILING GREEN SINGAPORE 730026,"(1.441963079, 103.7732218)",Marsiling,1.048552225,Marsiling   Mall    Singapore ,1.187039746,NTUC Fairprice Co-operative Ltd,1.054167202,Marsiling Lane Food Centre,0.458594199,19.60553785
2597,108 WOODLANDS ST 13,730108,1.437219087,103.7815768,108 WOODLANDS STREET 13 SINGAPORE 730108,"(1.437219087, 103.7815768)",Woodlands,0.537450466,Marsiling   Mall    Singapore ,0.459613275,NTUC Fairprice Co-operative Ltd,0.620354677,Marsiling Lane Food Centre,0.872190016,18.72973184
2598,734 YISHUN AVE 5,760734,1.429264553,103.8310748,734 YISHUN AVENUE 5 NEE SOON CENTRAL VISTA SINGAPORE 760734,"(1.429264553, 103.8310748)",Yishun,0.443470516,Northpoint   City    Singapore ,0.587100859,COLD STORAGE SINGAPORE (1983) PTE LTD,0.297822958,Chong Pang City Wet Market & Food Centre,0.40850603,16.31112641
2599,135 YISHUN ST 11,760135,1.432247782,103.8319118,135 YISHUN STREET 11 SINGAPORE 760135,"(1.432247782, 103.8319118)",Yishun,0.451267901,Northpoint   City    Singapore ,0.676963966,COLD STORAGE SINGAPORE (1983) PTE LTD,0.394138373,Chong Pang City Wet Market & Food Centre,0.403190457,16.62713783
2600,263 YISHUN ST 22,760263,1.436162981,103.8391111,263 YISHUN STREET 22 SINGAPORE 760263,"(1.4361629809999998, 103.8391111)",Yishun,0.852234095,Northpoint   City    Singapore ,0.974646062,COLD STORAGE SINGAPORE (1983) PTE LTD,0.141932962,Chong Pang City Wet Market & Food Centre,1.29741922,16.97463067
2601,778 YISHUN AVE 2,760778,1.422208461,103.8337911,778 YISHUN AVENUE 2 KHATIB VALE SINGAPORE 760778,"(1.4222084609999999, 103.8337911)",Khatib,0.539428217,Northpoint   City    Singapore ,0.68652367,KAI SOON SUPERMARKET PTE. LTD.,0.101276404,Chong Pang City Wet Market & Food Centre,1.218039415,15.49314226
2602,720 YISHUN ST 71,760720,1.426420518,103.828958,720 YISHUN STREET 71 KHATIB SPRING SINGAPORE 760720,"(1.426420518, 103.828958)",Yishun,0.766758776,Northpoint   City    Singapore ,0.819298462,COLD STORAGE SINGAPORE (1983) PTE LTD,0.467276189,Chong Pang City Wet Market & Food Centre,0.591548297,16.03332534
2603,288 YISHUN AVE 6,760288,1.439863032,103.8375135,288 YISHUN AVENUE 6 PCF SPARKLETOTS PRESCHOOL @ CHONG PANG 288 (CC) SINGAPORE 760288,"(1.4398630319999999, 103.8375135)",Yishun,1.166616413,Canberra   Plaza    Singapore ,0.863238096,COLD STORAGE SINGAPORE (1983) PTE LTD,0.440563568,Chong Pang City Wet Market & Food Centre,1.366156681,17.39980411
2604,277 YISHUN ST 22,760277,1.437918437,103.8369946,277 YISHUN STREET 22 PCF SPARKLETOTS PRESCHOOL @ CHONG PANG 277 (CC) SINGAPORE 760277,"(1.4379184369999998, 103.8369946)",Yishun,0.942900021,Canberra   Plaza    Singapore ,0.931808229,COLD STORAGE SINGAPORE (1983) PTE LTD,0.241563882,Chong Pang City Wet Market & Food Centre,1.185851405,17.18982027
2605,547 ANG MO KIO AVE 10,560547,1.374209517,103.8582097,547 ANG MO KIO AVENUE 10 SINGAPORE 560547,"(1.374209517, 103.8582097)",Ang Mo Kio,1.065393196,Jubilee   Square    Singapore ,1.197188983,NTUC Fairprice Co-operative Ltd,0.4556408,Blk 527 Ang Mo Kio Ave 10,0.439349509,10.05555596
2606,511 ANG MO KIO AVE 8,560511,1.37356775,103.8501541,511 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560511,"(1.37356775, 103.8501541)",Ang Mo Kio,0.398931053,Jubilee   Square    Singapore ,0.326732343,NTUC Fairprice Co-operative Ltd,0.41733202,Blk 724 Ang Mo Kio Ave 6,0.431831701,9.958706818
2607,39 BEDOK STH RD,460039,1.321397663,103.9397304,39 BEDOK SOUTH ROAD BEDOK SOUTH PARKVIEW SINGAPORE 460039,"(1.321397663, 103.9397304)",Tanah Merah,0.997433993,Bedok   Point    Singapore ,0.900087587,NTUC Fairprice Co-operative Ltd,0.377680817,Blk 58 New Upper Changi Road,0.341187918,10.64133059
2608,520 BEDOK NTH AVE 1,460520,1.330464621,103.9281343,520 BEDOK NORTH AVENUE 1 CHEE HOON KOG CHILD CARE CENTRE SINGAPORE 460520,"(1.330464621, 103.9281343)",Bedok,0.750239018,Djitsun   Mall   Bedok    Singapore ,0.517042351,MELON SUPERMARKET PTE LTD,0.335111306,Blk 538 Bedok North Street 3,0.370212298,9.951915021
2609,549 BEDOK NTH AVE 1,460549,1.33173092,103.9269155,549 BEDOK NORTH AVENUE 1 ALJUNIED-HOUGANG TOWN COUNCIL (KAKI BUKIT OFFICE) SINGAPORE 460549,"(1.33173092, 103.9269155)",Bedok Reservoir,0.872131094,Djitsun   Mall   Bedok    Singapore ,0.698530691,SHENG SIONG SUPERMARKET PTE LTD,0.174166912,Blk 538 Bedok North Street 3,0.203930311,9.911001845
2610,158 BEDOK STH AVE 3,460158,1.318670387,103.9451056,158 BEDOK SOUTH AVENUE 3 MOUNT PLEASANT ANIMAL MEDICAL CENTRE (BEDOK) SINGAPORE 460158,"(1.318670387, 103.9451056)",Tanah Merah,0.972628754,East   Village    Singapore ,1.462339772,NTUC Fairprice Co-operative Ltd,0.734518477,Blk 58 New Upper Changi Road,0.748106187,11.08482113
2611,623 BEDOK RESERVOIR RD,470623,1.333657543,103.9168047,623 BEDOK RESERVOIR ROAD EUNOS HEIGHTS SINGAPORE 470623,"(1.333657543, 103.9168047)",Bedok North,0.22661644,Djitsun   Mall   Bedok    Singapore ,1.655183649,COLD STORAGE SINGAPORE (1983) PTE LTD,0.221187471,Blk 630 Bedok Reservoir Road,0.31075992,9.109972785
2612,118 BEDOK RESERVOIR RD,470118,1.331102389,103.9091466,118 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470118,"(1.331102389, 103.90914659999999)",Kaki Bukit,0.441958246,Paya   Lebar   Square    Singapore ,2.293052116,CHUA & NG PTE. LTD.,0.565691959,Blk 630 Bedok Reservoir Road,0.591537318,8.265640562
2613,170 BEDOK STH RD,460170,1.320720112,103.9461111,170 BEDOK SOUTH ROAD PCF SPARKLETOTS PRESCHOOL @ SIGLAP BLK 170 (KN) SINGAPORE 460170,"(1.320720112, 103.9461111)",Tanah Merah,0.733792529,East   Village    Singapore ,1.229380584,NTUC Fairprice Co-operative Ltd,0.639421785,Blk 58 New Upper Changi Road,0.668045531,11.2702059
2614,311 SHUNFU RD,570311,1.350882203,103.8393397,311 SHUNFU ROAD SHUNFU GARDENS SINGAPORE 570311,"(1.350882203, 103.8393397)",Marymount,0.20094003,Junction 8    Singapore ,1.023009746,SHENG SIONG SUPERMARKET PTE LTD,0.376862566,Blk 320 Shunfu Road,0.28543082,7.558954834
2615,113 BISHAN ST 12,570113,1.347231851,103.848809,113 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570113,"(1.3472318509999999, 103.848809)",Bishan,0.415546154,Junction 8    Singapore ,0.329658703,TAN SUAN GUAY,0.08472891,Blk 93 Toa Payoh Lorong 4,0.983006276,7.035861544
2616,106 BISHAN ST 12,570106,1.346100701,103.8478472,106 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570106,"(1.346100701, 103.8478472)",Bishan,0.537364638,Junction 8    Singapore ,0.459864874,TAN SUAN GUAY,0.249794237,Blk 93 Toa Payoh Lorong 4,0.87353539,6.915850749
